,year,policedistrict,Aggravated Assault,All Other Offenses,Arson,Burglary,Curfew Violations,DUI,Disorderly Conduct,Drug Violations,Embezzlement,Forcible Rape,Forgery,Fraud,Gambling,Larceny,Liquor Law Violations,Motor Vehicle Theft,Murder Non Negligent Manslaughter,Other Assaults,Other Family Offenses,Other Sex Offenses,Prostitution,Rape,Robbery,Runaways,Stolen Property,Vagrancy,Vandalism,Weapons
71,2001.0,Fort Lewis College PD,0.0,13.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,65.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0
72,2001.0,Fort Morgan PD,2.0,623.0,1.0,3.0,0.0,172.0,88.0,65.0,0.0,0.0,4.0,28.0,0.0,58.0,98.0,8.0,0.0,0.0,25.0,7.0,0.0,,0.0,0.0,1.0,0.0,11.0,1.0
73,2001.0,Fountain PD,8.0,136.0,0.0,1.0,0.0,31.0,2.0,7.0,0.0,0.0,2.0,0.0,0.0,21.0,9.0,4.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,2.0,0.0,3.0,2.0
74,2001.0,Frederick PD,2.0,18.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
75,2001.0,Fremont County Sheriff,15.0,165.0,0.0,4.0,0.0,91.0,12.0,48.0,0.0,2.0,0.0,3.0,0.0,4.0,38.0,3.0,2.0,0.0,21.0,2.0,0.0,,0.0,0.0,1.0,0.0,11.0,4.0
76,2001.0,Frisco PD,2.0,103.0,0.0,4.0,0.0,106.0,15.0,20.0,0.0,1.0,8.0,10.0,0.0,28.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,1.0,0.0,4.0,1.0
77,2001.0,Garfield County Sheriff,24.0,176.0,1.0,3.0,0.0,42.0,11.0,21.0,0.0,0.0,0.0,2.0,0.0,1.0,26.0,1.0,0.0,0.0,56.0,5.0,0.0,,1.0,0.0,1.0,0.0,10.0,4.0
78,2001.0,Georgetown PD,2.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
79,2001.0,Gilcrest PD,0.0,68.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0
80,2001.0,Gilpin County Sheriff,8.0,125.0,0.0,0.0,0.0,32.0,0.0,18.0,0.0,0.0,2.0,26.0,0.0,7.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,,0.0,0.0,1.0,0.0,2.0,7.0
81,2001.0,Glendale PD,4.0,231.0,0.0,3.0,0.0,34.0,21.0,3.0,0.0,0.0,4.0,11.0,0.0,129.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,2.0
82,2001.0,Glenwood Springs PD,14.0,348.0,1.0,12.0,0.0,150.0,54.0,64.0,0.0,3.0,13.0,22.0,0.0,61.0,59.0,4.0,0.0,0.0,5.0,0.0,0.0,,3.0,0.0,0.0,0.0,32.0,8.0
83,2001.0,Golden PD,11.0,359.0,0.0,6.0,0.0,139.0,57.0,39.0,0.0,0.0,5.0,5.0,0.0,98.0,55.0,6.0,0.0,0.0,11.0,3.0,0.0,,0.0,0.0,2.0,0.0,17.0,2.0
84,2001.0,Grand County Sheriff,4.0,2.0,0.0,4.0,0.0,113.0,11.0,19.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,2.0,0.0,0.0,46.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0
85,2001.0,Grand Junction PD,72.0,1776.0,11.0,63.0,0.0,376.0,415.0,780.0,6.0,5.0,38.0,105.0,0.0,209.0,289.0,26.0,4.0,0.0,38.0,31.0,1.0,,6.0,0.0,27.0,0.0,134.0,63.0
86,2001.0,Greeley PD,42.0,2323.0,0.0,48.0,0.0,693.0,164.0,237.0,8.0,7.0,40.0,15.0,0.0,430.0,739.0,24.0,4.0,0.0,87.0,28.0,0.0,,16.0,0.0,10.0,0.0,90.0,16.0
87,2001.0,Greenwood Village PD,7.0,509.0,0.0,4.0,0.0,211.0,3.0,100.0,0.0,0.0,19.0,11.0,0.0,97.0,126.0,5.0,0.0,0.0,10.0,1.0,0.0,,6.0,0.0,8.0,1.0,8.0,4.0
88,2001.0,Gunnison County Sheriff,0.0,99.0,0.0,2.0,0.0,19.0,5.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0
89,2001.0,Gunnison PD,10.0,209.0,0.0,12.0,0.0,102.0,79.0,49.0,0.0,2.0,3.0,13.0,0.0,34.0,199.0,2.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,15.0,5.0
90,2001.0,Haxtun PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
91,2001.0,Hinsdale County Sheriff,1.0,10.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
92,2001.0,Holyoke PD,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
93,2001.0,Huerfano County Sheriff,2.0,58.0,0.0,0.0,0.0,19.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0
94,2001.0,Idaho Springs PD,26.0,78.0,0.0,1.0,0.0,43.0,17.0,11.0,0.0,0.0,0.0,4.0,0.0,5.0,9.0,2.0,0.0,0.0,4.0,2.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0
95,2001.0,Ignacio PD,6.0,46.0,0.0,1.0,0.0,19.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
96,2001.0,Jackson County Sheriff,1.0,22.0,0.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
97,2001.0,Jefferson County Sheriff,32.0,1187.0,0.0,24.0,0.0,240.0,62.0,178.0,4.0,2.0,8.0,18.0,0.0,160.0,203.0,2.0,0.0,0.0,53.0,9.0,0.0,,2.0,0.0,10.0,6.0,68.0,27.0
98,2001.0,Johnstown PD,2.0,110.0,0.0,0.0,0.0,31.0,4.0,8.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,6.0,0.0
99,2001.0,Kersey PD,0.0,60.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0
100,2001.0,Kiowa County Sheriff,0.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
101,2001.0,Kit Carson County Sheriff,2.0,35.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,2.0,0.0
102,2001.0,La Junta PD,23.0,275.0,0.0,1.0,0.0,33.0,38.0,18.0,0.0,1.0,20.0,2.0,0.0,42.0,36.0,2.0,0.0,0.0,21.0,3.0,0.0,,0.0,0.0,1.0,1.0,13.0,2.0
